OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,SSL,DATE_ACQUIRED,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
129,Harry Thomas,"Lincoln Rd. and 2nd St., to R and T Sts., NE",REC CENTER GROUNDS,DPR_0464,Y,0,1,1,1,0,0,2,0,N,N,2,1,0,1,1,0,1,N,0,0,0,Y,,N,1,0,Nw,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 5,,10,N,0464,Emery Elementary School,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),RES 04640000,,{2A248F8E-D274-41E0-8EE2-7E6ED360E9EE},,,,,0,0
130,Westminster Playground,"907 Westminster St., NW",PARK,DPR_0043,Y,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,N,Ward 1,,05,,none,none,,Multiple Lots,,{F075ABCD-9D03-4701-8692-1908B678E7CC},,,,,0,0
131,Triangle Park RES 0168,"Vermont Ave. & 11th St., north of S St., NW",SMALL PARK,DPR_0168,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 1,,,,0168,,TOJ TO DC,RES 01680000,,{52F659CF-5F53-4B15-AE09-F123CCDF2644},,,,,0,0
132,DPR Warehouse,1325 S STREET NW,ADMIN,DPR_0052,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 1,,,,none,,,0238    0870,,{C38A8578-D62C-486E-8042-107E577C1019},,,,,0,0
133,Mitchell Playground,"23rd & S Sts., NW",PARK,DPR_0672,Y,1,0,1,0,0,0,1,0,N,N,8,0,4,1,1,0,0,N,0,0,0,,,N,2,22,Nne,Pr,Nw,RpLACE,Gd,ChnLnk,Flt,N,Ward 2,,04,Y,0672,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),Multiple Lots,1972/12/14 00:00:00+00,{D9DBF198-A34E-4CF8-B597-8542B65D26BA},,,,,0,0
134,S Street Dog Park,"New Hampshire Ave.,17th St.,S St.,NW",TRIANGLE,DPR_0144,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,04,,0144,none,TOJ for Comp Plan.  Triangle Park RES 0144.  S Street Dog Park,RES 01440000,,{2AAD73ED-1CEF-48D5-A86D-BEFDB0C44941},,,,,0,0
135,Arboretum,"24th St. and Rand Pl., NE",REC CENTER GROUNDS,DPR_0042,Y,0,0,1,0,0,0,2,0,N,Y,0,1,7,1,0,0,0,Y,0,0,0,N,,N,0,0,Nne,Nne,RpAIR,RpLACE,Gd,Nne,Flt,N,Ward 5,,11,N,none,none,,Multiple Lots,,{3C4CBA3A-0174-4894-B44A-28E5D35CD3DE},,,,,0,0
136,Decatur Terrace Steps and Fountain ,"22nd St., between Decatur Pl. & S St., NW",SMALL PARK,DPR_057C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,057C,,"Subdivision Book 158, Page 44.  TOJ for Comp Plan",2515    0815,,{83863AF2-E4AC-474E-9D3A-C14D8F287353},,,,,0,0
137,10th and French Street Park,10th & French St. NW,SMALL PARK,DPR_0022,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Flt,,Ward 2,,5,,none,none,,Multiple Lots,,{261EBA85-699E-453E-BC99-F96857F7E32C},,,,,0,0
138,Book Hill Park,"Wisconsin Ave. and R St., NW",PARK,DPR_0325,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 2,,03,,0325,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),RES 06560000,1979/01/01 00:00:00+00,{AFE0DD36-3EA6-47B9-81A8-3D653FD3314C},,,,,0,0
139,Triangle Park RES 0166,"Vermont Ave. & 12th St., north of R St., NW",SMALL PARK,DPR_0166,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,0166,,"Subdivision Book 143, Page 45.  TOJ TO DC",RES 01660000,,{4A4E1B58-8269-43D4-B0A2-5F5468512A7E},,,,,0,0
140,Triangle Park RES 0159,"Rhode Island Ave.,6th St.,R St.,NW",TRIANGLE,DPR_0159,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,05,,0159,none,TOJ for Comp Plan,0444N   0800,,{A0F3D35D-3CFC-4593-91C1-0A190F8E35B0},,,,,0,0
141,Florida Avenue Playground,"First Street and Florida Avenue, NW",PARK,DPR_0011,Y,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,Ward 5,,05,,none,none,,0551    0232,,{47EB578C-16C9-428A-BC40-61A4B0D9C083},,,,,0,0
142,Brentwood Park (Patterson Tract),"6th St., between New York & Florida Aves., NE",PARK,DPR_0495,Y,0,1,2,0,0,0,2,0,,,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,N,Ward 5,,11,,0495,none,Subdivision Books (162 & 158) Pages (5 & 40) (TOJ to DC for Recreation & Hwy purposes),PAR 01290057,1986/01/01 00:00:00+00,{808BB3AF-C103-4D54-B71E-DD9C55198CEB},,,,,0,0
143,Shaw,"Rhode Island Ave. and 11th St., NW",REC CENTER GROUNDS,DPR_0155,Y,1,0,2,0,0,0,0,0,Y,N,1,0,0,0,0,0,0,N,0,0,0,N,,N,0,0,RpAIR,Nne,Nw,RpLACE,Pr,ChnLnk,Flt,N,Ward 2,,05,Y,0155,Shaw Junior High School,,0336    0828,1972/12/17 00:00:00+00,{1ABCB361-2F4F-44B3-9277-8EEA53FB217B},,,,,0,0
144,Triangle Park RES 277C,"North Capitol St NW, Lincoln Rd NE, and R St NE",TRIANGLE,DPR_277C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,,,277C,,"Subdivision Book 204, Page 198. TOJ TO DC",3514    0802,,{6BAD0913-F2EA-4199-8642-F358F7C0BD94},,,,,0,0
145,Carter G. Woodson Memorial Park,"Rhode Island Ave.,9th St.,Q St.,NW",TRIANGLE,DPR_0157,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,05,,0157,none,TOJ for Comp Plan,RES 01570000,1972/12/14 00:00:00+00,{3148AE4A-710A-4430-BCEC-12C5318891EB},,,,,0,0
146,Stead,"15th and 16th Sts., to P & Church Sts., NW",REC CENTER GROUNDS,DPR_0660,Y,1,0,2,0,0,0,0,0,N,N,4,0,1,1,1,0,0,N,0,0,0,Y,,N,1,8,RpAIR,RpAIR,Nw,RpLACE,Pr,ChnLnk,Flt,N,Ward 2,,04,,0660,none,(TOJ for Recreation Purposes),0180    0813,1972/12/14 00:00:00+00,{7CDA6557-B8A0-4D10-AB4C-2F723FF2B6DE},,,,,0,0
147,Volta Park Recreation Center,1555 34TH STREET NW,REC CENTER GROUNDS,DPR_0472,Y,1,0,2,0,0,0,2,0,N,N,4,0,5,1,1,0,1,N,0,0,0,N,,N,2,0,Nne,Gd,Nw,RpLACE,RpLACE,ChnLnk,Flt,N,Ward 2,,03,,0472,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),Multiple Lots,1972/12/14 00:00:00+00,{C58A3802-D69E-4DA7-AC42-160F66E4655F},,,,,0,0
148,Hardy,"Foxhall Rd. and Q St., NW",REC CENTER GROUNDS,DPR_0709,Y,0,0,1,0,0,0,2,0,,N,2,0,3,1,1,0,0,N,0,0,0,N,,Y,0,8,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,N,Ward 3,,03,,0709,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),RES 07090000,1972/11/14 00:00:00+00,{D37036A9-005A-4853-8973-8AB92AA82D51},,,,,0,0
149,Kennedy,"P St., between 6th and 7th Sts., NW",REC CENTER GROUNDS,DPR_0020,Y,1,0,2,0,0,0,1,0,N,Y,1,1,0,1,1,0,0,N,0,0,0,Y,,Y,0,6,Nw,Pr,Nw,RpLACE,Pr,Ir,Flt,N,Ward 2,,05,Y,none,none,,Multiple Lots,,{6F1068E2-C3FD-4038-B228-F24C69D0979F},,,,,0,0
150,Bundy Field,"New Jersey Ave., between O and P Sts., NW",PARK,DPR_0633,Y,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 2,,05,,0633,Bundy,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),0511    0822,1972/12/14 00:00:00+00,{D6DDCD12-4A85-4BC5-B565-9F0D52F846B4},,,,,0,0
151,Rose Park,"Rock Creek, between National Zoological Park & Theodore Roosevelt Bridge, NW",REC CENTER GROUNDS,DPR_0361,Y,1,0,1,0,0,0,3,0,N,Y,0,0,0,1,1,0,0,N,0,0,0,N,,N,1,8,Nne,Pr,RpAIR,RpAIR,Pr,ChnLnk,Flt,N,Ward 2,,03,,0360,none,Subdivision Book 158 Page 34 (TOJ for Recreation Purposes),RES 06390000,,{F6160F6A-8760-483F-8E1B-4EBEDF1019BE},,,,,0,0
152,Deanwood,"49th and Quarles Sts., NE",REC CENTER GROUNDS,DPR_0666,Y,1,0,0,0,0,0,3,0,N,N,5,0,1,1,1,0,1,N,0,0,0,Y,,N,0,6,Nw,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 7,,13,Y,0666,Ronald Brown Middle School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),5162    0026,1968/01/18 00:00:00+00,{F887A232-B958-4356-9CA4-4FB3A845A92E},,,,,0,0
153,NJ and O Sts Park,"1301 New Jersey Avenue, NW",PARK,DPR_0191,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 2,,05,,0191,none,,0512    0112,,{52E82391-9BD1-4EB8-A0C6-74D90798F15C},,,,,0,0
154,Kenilworth-Parkside Recreation Center,1300 44TH STREET NE,REC CENTER GROUNDS,DPR_0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,,,none,,,5101    0801,,{F04252B1-22A4-42F2-BD7C-934803DEE3F8},,,,,0,0
155,Francis,"25th and N Sts., NW",REC CENTER GROUNDS,DPR_0639,Y,1,0,1,0,0,0,4,0,N,Y,0,0,0,1,0,0,1,N,0,0,0,N,,Y,0,0,,Gd,RpAIR,RpAIR,Pr,ChnLnk,Flt,Y,Ward 2,,06,,0639,Francis Junior High School,"Subdivision 158, Page 11.  TOJ to DC for recreation purposes",RES 06390000,1971/10/18 00:00:00+00,{FF305A5D-E219-47D8-8D15-F314DC4983FA},,,,,0,0
156,Dunbar Aquatic Center,101 N STREET NW,AQUATIC CENTER,DPR_0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,,,none,,,0554    0860,,{01A6659F-A78A-41C2-A327-09227C67D130},,,,,0,0
157,Trinidad,"Trinidad Ave., at Childress St., NE",REC CENTER GROUNDS,DPR_0615,Y,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,Ward 5,,11,,0615,none,Subdivision Book 152 Page 138 (TOJ for Recreation Purposes),RES 06150000,1968/01/01 00:00:00+00,{95C6CBB8-743A-4367-902E-2C400D4D27A5},,,,,0,0
158,7th & N Street Playground,"7th & N Streets, NW",,DPR_0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,none,,,0448    0113,,{93F23225-6AE3-420A-9F42-1085043A82B4},,,,,0,0
159,New York Ave Daycare,"New York Ave. and 1st St., NW",REC CENTER GROUNDS,DPR_0021,Y,1,0,2,0,0,0,0,0,N,N,4,0,0,1,1,0,0,N,0,0,0,N,,N,0,1,RpAIR,Nne,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,Ward 5,,05,N,none,none,,Multiple Lots,1944/05/29 00:00:00+00,{F87936F7-3E43-4FEE-B36A-AB79323A7966},,,,,0,0
160,Triangle Park RES 0140,"New Hampshire Ave.,21st St.,M St.,NW",TRIANGLE,DPR_0140,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,06,,0140,none,TOJ for Comp Plan,RES 01400000,,{3E889DE4-906B-47BE-88CC-842D148FFC51},,,,,0,0
161,Triangle Park RES 0179,"New York Ave NW, between 3rd St NW and New Jersey Ave NW",TRIANGLE,DPR_0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,0179,,TOJ TO DC,RES 01790000,,{03D9DD1B-448E-45D4-9949-49A0BE0F276D},,,,,0,0
162,Butler-Wyatt Clubhouse # 2 Boys & Girls Club,120 M STREET NW,SPECIALTY,DPR_0053,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,,,none,,,0557    0898,,{94263CF7-8E16-45AD-A4A6-4FFC957703D5},,,,,0,0
163,10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0002,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,none,none,,0369    0877,,{55DD8CE0-CED7-4CCE-8C60-BC5098DC2584},,,,,0,0
164,10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0010,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,none,none,,0369    0874,,{08D5043A-8170-4CBB-BB2B-DCD7953DB540},,,,,0,0
165,RH Terrell Recreation Center,155 L STREET NW,REC CENTER GROUNDS,DPR_0049,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,,,none,,,0557    0171,,{DDE8AA59-FB10-459C-8710-49EBB59F0248},,,,,0,0
166,Joseph H. Cole Recreation Center,1299 NEAL STREET NE,REC CENTER GROUNDS,DPR_0055,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 5,,,,none,,,4066    0821,,{EE04AAFC-3851-45ED-9417-BB29BEF6A587},,,,,0,0
167,Joe Cole,"Montello Ave. and Morse St., NE",REC CENTER GROUNDS,DPR_0708,Y,0,0,0,0,0,0,0,0,N,N,5,1,2,1,1,0,0,N,0,0,0,N,,N,0,3,Nne,Nne,Nne,RpLACE,Gd,Nne,MdSlp,N,Ward 5,,11,N,0708,Wheatley Elementary School,(TOJ for Recreation Purposes),4066    0822,1969/01/22 00:00:00+00,{FAE7D00C-BE2D-4B60-BDF0-11EEE557874E},,,,,0,0
168,Mt Vernon Square,"Mt Vernon Pl NW, K St NW, 7th St NW, and 9th St NW",SMALL PARK,DPR_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,0008,none,"Subdivision Book 204, Page 198. TOJ to DC for park & recreation purposes",0403N   0800,,{6637A601-EC92-40C0-AB7B-988DAE43262E},,,,,0,0
169,Franklin Square,"K St., I St., 13th St., and 14th St., NW",LARGE PARK,DPR_0013,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,none,none,FEDERAL LANDS PACKAGE:  COOPERATIVE MANAGEMENT AGREEMENT WITH NATIONAL PARK SERVICE (NPS) TO OVERSEE PARK MAINTENANCE,0249    0800,,{DB87DA1E-AD89-4050-8D7D-7639A1BEC880},,,,,0,0
170,26th & I Street Playground,"26th & I Streets, NW",SMALL PARK,DPR_0064,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Ward 2,,,,none,none,,,,{DE0192C3-DB70-4CDC-AFF8-01DA3406D102},,,,,0,0
171,Marvin Gaye Park,"42nd St. & Hunt Pl., to 63rd St. & Southern Ave., NE",LARGE PARK,DPR_0610,Y,1,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Y,Ward 7,,13,,0610,Drew Elementary School,Subdivision Book 199 Page 154 (TOJ for Recreation Purposes),RES 06100000,,{DFFE1601-597F-415D-96CB-F3B122F72737},,,,,0,0
172,Sherwood,"9th and 10th Sts., to F and G Sts., NE",REC CENTER GROUNDS,DPR_0552,Y,0,0,1,0,0,0,1,0,N,N,3,1,0,0,0,0,0,N,0,0,0,N,,N,0,0,,Pr,Nw,RpLACE,Pr,Ir,Flt,N,Ward 6,,12,,0552,Madison,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),RES 05520000,1972/11/14 00:00:00+00,{48F768AF-0809-4B83-B3F1-ADA37B14368A},,,,,0,0
173,Rosedale,"17th and Gales Sts., NE",REC CENTER GROUNDS,DPR_0041,Y,1,1,2,0,0,0,2,0,N,N,0,1,4,1,0,0,1,N,0,0,0,,,N,0,2,Nw,RpLACE,Nw,RpLACE,RpAIR,ChnLnk,Flt,N,Ward 7,,12,N,none,Gibbs Elementary School,,Multiple Lots,,{3606CFE5-C08F-43AE-B84F-E2D3B9063E39},,,,,0,0
174,H.D. Woodson Aquatic Center,540 55TH STREET NE,AQUATIC CENTER,DPR_0050,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,,,none,HD Woodson,,5218    0026,,{BB88D229-CF08-4ADC-B3F7-85A11D03A605},,,,,0,0
175,Kingman and Heritage Islands,Anacostia River between Benning Rd. and Railroad Bridge,PARK,DPR_343F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 7,,12,,343F,none,,RES 343F0000,,{11606E24-7185-4FD9-8397-94928E6E8173},,,,,0,0
176,Triangle Park RES 0269,"Tennessee Ave.,14th St.,E St.,NE",TRIANGLE,DPR_0269,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,12,,0269,none,TOJ for Comp Plan,RES 02690000,,{9E47E91B-1BCD-407D-85A8-E10036EA6BAA},,,,,0,0
177,Lovejoy Park,"E St., between 11th and 12th Sts., NE",PARK,DPR_0690,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 6,,12,,0690,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),0985    0808,1972/12/14 00:00:00+00,{562592A7-52FC-4DC0-B4C4-5737CA0C6D48},,,,,0,0
178,Kingsman Field,"14th St. and Tennessee Ave., NE",PARK,DPR_0663,Y,2,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,0,0,0,,,N,1,7,Nne,,Nne,RpLACE,RpLACE,ChnLnk,Flt,N,Ward 6,,12,N,0663,Kingsman,,Multiple Lots,1972/12/14 00:00:00+00,{04B9B319-A468-4BE7-AA2D-1BE8B3BF87CF},,,,,0,0
179,Kelly Miller Park,"49th and 50th Sts., Brooks Pl., NE",PARK,DPR_0628,Y,2,0,2,0,0,0,3,0,N,,0,0,0,0,0,1,0,N,0,0,0,N,,Y,0,0,RpAIR,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 7,,13,N,0628,Kelly Miller Middle School,"Subdivision 158, Page 37.  TOJ to DC for recreation purposes",Multiple Lots,1972/11/14 00:00:00+00,{433EB6F9-0E40-41CF-8B66-41D9A8E591BC},,,,,0,0
180,Triangle Park RES 0268,"Tennessee Ave.,14th St.,D St.,NE",TRIANGLE,DPR_0268,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,12,,0268,none,TOJ for Comp Plan,RES 02680000,,{A25E3C0A-6AA4-4B73-A400-D6230DB4D76B},,,,,0,0
181,Triangle Park RES 0238,"North Carolina Ave.,15th St.,Consitution Ave.,NE",TRIANGLE,DPR_0238,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,12,,0238,none,TOJ for Comp Plan,RES 02380000,,{21CBBE9F-66C2-444C-867A-87CEA4F7B77F},,,,,0,0
182,Triangle Park RES 0485,"Blaine St., Brooks & 51st Sts., SE",TRIANGLE,DPR_0485,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,13,,0485,none,TOJ for Comp Plan,RES 04850000,,{8C32EC06-91FB-44E2-9953-B36D038E87D4},,,,,0,0
183,Triangle Park RES 0235,"North Carolina Avenue and A Street, NE",SMALL PARK,DPR_0235,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,12,,0235,none,TOJ for Comp Plan,RES 02350000,,{7E7C5333-A310-4682-A249-31F1EC07F9A8},,,,,0,0
184,Evans Park,"East Capitol and Blaine Sts., to 55th St. & 57th Pl., SE",PARK,DPR_0016,Y,1,1,1,0,0,0,2,0,N,N,0,0,0,0,1,0,0,N,0,0,0,N,,N,0,0,RpLACE,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,Ward 7,,13,N,none,Evans Middle School,"Subdivision Book 140, Page 173",5244    0804,,{0F3A4A9E-2D7C-4C11-894B-3D4E3905C11D},,,,,0,0
185,Triangle Park RES 0084,"Massachusetts Ave., between 9th St & A St, Ne",TRIANGLE,DPR_0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,,,0086,none,TRIANGLE (TRANS TO DC) 12/14/1972,RES 00860000,1972/12/14 00:00:00+00,{2F0E2F2B-CA01-4E5E-8B89-16E6061F6523},,,,,0,0
186,Triangle Park 5189    0845,"Central Ave.,49th St.,East Capitol St.,NE",TRIANGLE,DPR_0018,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,13,,none,none,,5189    0845,,{5177159A-2EA4-4C8C-B059-47A06EB7D741},,,,,0,0
187,Benning Stoddert Community Center,"East Capitol St., between Burns & B Sts., SE",REC CENTER GROUNDS,DPR_0706,Y,1,0,4,0,0,0,0,0,N,Y,0,1,8,1,0,0,0,Y,1,0,0,N,,Y,1,7,RpAIR,RpAIR,RpAIR,RpLACE,Gd,ChnLnk,MdSlp,N,Ward 7,,14,N,0706,none,Subdivision Book 152 Page 132 (TOJ for Recreation Purposes),Multiple Lots,,{C8139D42-8D96-4171-84FD-F1D11AD5F344},,,,,0,0
188,Fort Chaplin Park,"Texas Ave. and C St., SE",PARK,DPR_0612,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 7,,14,,0612,Plummer Elementary School,Subdivision Books (158 & 137) Pages (39 & 169) (TOJ to DC for Recreation purposes),RES 06120000,1972/12/14 00:00:00+00,{35F33C6F-19FA-407B-B6F6-15F24A13E405},,,,,0,0
189,Triangle Park RES 337C,"Minnesota Ave.,36th St.,Croffut Pl.,SE",TRIANGLE,DPR_337C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,14,,337C,none,TOJ for Comp Plan,RES 337C0000,,{BBA469A6-14E3-4965-9DB1-6F7E9DACB720},,,,,0,0
190,Rumsey Aquatic Center,"7th St. and N. Carolina Ave., NE",REC CENTER GROUNDS,DPR_0019,Y,0,0,0,0,0,0,0,0,N,N,6,0,0,0,0,1,0,N,0,0,0,,,N,0,5,Nne,RpAIR,Nw,RpLACE,,Nne,Flt,N,Ward 6,,12,N,none,none,"Subdivision Book 28, Page 99, Survey Book 29, Page 108",0872    0800,1972/12/14 00:00:00+00,{ABA1A3BF-8EA6-49E7-A730-022171C703FE},,,,,0,0
191,Fletcher-Johnson,"Benning Rd., C St., and St Louis St. SE",PARK,DPR_0030,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 7,,,,none,none,,5344    0802,,{FF0C607C-F097-4603-86D4-C576EDDF6F5B},,,,,0,0
192,17th & C Triangle Park Playground RES 0092,"Massachusetts Ave.,17th St.,C St.,SE",TRIANGLE,DPR_0092,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Ward 7,,12,,0092,none,TOJ for Comp Plan,RES 00920000,,{1DB4C0F9-DB12-4A9B-A723-B763A9D20CB1},,,,,0,0
193,DC General Playground,"1900 Massachusetts Avenue, SE",PARK,DPR_0013,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 7,,,,0013,none,,RES 00130000,,{E35F12E5-5076-4D49-9120-356102CA9D20},,,,,0,0
194,Triangle Park RES 0240,"South of South Carolina Avenue and C Street, SE",SMALL PARK,DPR_0240,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,12,,0240,none,TOJ for Comp Plan,RES 02400000,,{B571E920-554F-45D9-8D89-076BCC177CD2},,,,,0,0
195,Payne,"C St., between 14th and 15th Sts. SE",REC CENTER GROUNDS,DPR_0649,Y,1,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,N,0,0,0,N,,N,0,0,RpLACE,,Nne,RpLACE,Pr,ChnLnk,Flt,N,Ward 6,,12,N,0649,Payne Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1061    0813,1972/11/14 00:00:00+00,{57466FF9-221E-49FB-B799-7F0F2E95785D},,,,,0,0
196,Triangle Park RES 0116,"Virginia Ave., east side of 6th & D Sts., SW",TRIANGLE,DPR_0116,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 6,,,,0116,,"Subdivision Book 123, Page 130.  TOJ TO DC",RES 01160000,,{36F74884-5201-4647-8E22-89D3F376457A},,,,,0,0
