ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{1EEE87AF-0425-435A-8FA7-8A0CC58778B2},740818,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{29FDC12F-565D-40D3-A65A-478BE87B346A},740819,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{3B5AB975-E125-4AEC-9D77-614C46633857},740820,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{6E33B7C8-93A5-4380-8FD2-DE79C025C037},740821,0,0
MU-13,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Official Digital Zoning Map of July 1, 2010",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-2,MU-13,{5A54CC61-226F-4A4C-A012-16173A7F4DE9},740822,0,0
MU-14,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-14/,"Official Digital Zoning Map of July 1, 2010",Final,MU-14,Permits high density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-3,MU-14,{E7B811DA-1794-40CA-90C1-49B68169BE25},740823,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{3A3ED58C-678A-415D-83F8-EC5F47E94F72},740824,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{1F6360F4-EB48-4CE0-A37D-EC1839FC8A8F},740825,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Fixed mapping error on March 15, 2012 in Square 1823 to match DCGIS baist map; ZC 530; Fixed mapping error in Square 1825 on Apr 23, 2012",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{EE9DECCD-6083-4D3E-B303-B3007794DEA0},740826,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed zoning boundary in Square 4335 on March 27, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{AE44FE68-1ACA-4D65-8E42-00DB9DC20D71},740827,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{DADC0D75-FF45-42EC-8E24-F5B63AFEBD10},740828,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{8185910A-0A03-4E1B-B80D-9FC91A966CCF},740829,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E5C924EC-BD27-4E3C-9AC2-45026ED142AB},740830,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Misc map corrections in Square 3710 on April 26, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{0EDB9B3F-523A-411D-9844-702909C4E699},740831,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{31ABACAA-03D7-4899-9310-C88BF13DC35A},740832,0,0
MU-9B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-9/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-9 to MU-9B",Final,MU-9B,"Permits high density mixed-use development including office, retail, and housing with a focus on employment",Mixed-Use Zone,,C-3-C,MU-9B,{D123E6C5-EEDC-4A92-88B3-A418E052E8F2},740833,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{4BDF6A69-0975-422C-B300-BB2725444AF3},740834,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 3844 on March 26, 2012",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{2BD6A7E0-5E5D-43D2-BB9F-E5CD20DEF79F},740835,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{85256B32-F8C3-4859-8ED0-EB54F11017AA},740836,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{85487ED1-06E2-4BE4-86F1-98C328826B4C},740837,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{FC55A69C-1A59-453C-A838-8697D37A7124},740838,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{8F2D92A3-F028-4882-8D55-3952D93CB12E},740839,0,0
R-1-A,https://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Fixed Zoning boundary in Square 2087 to run along edge of lots on March 16, 2012",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,Residential Zone,,R-1-A,R-1-A,{21D6D8D4-306F-4D5B-8E85-A605E500FEA4},740840,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{81E53614-A5F6-4212-8D02-06EEBE4BA4C9},740841,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E19E38C8-13DB-4DB6-A7B9-E89BD47B78B3},740842,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{4739ACD7-2786-4D8B-97BC-5388FC45F577},740843,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 5179 on March 29, 2012",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{3A2FD63F-8510-4659-AEBA-76602C5075D6},740844,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{6EC32339-4016-4338-ACC7-20878A1A4EAA},740845,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{66C248D8-330A-4659-90E0-4BF47BF23E0A},740846,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Miscellaneous map correction in Square 2884 on March 22, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{5723DC44-3983-4C65-8655-9C819577F28F},740847,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{1EE80FEA-15B7-4BFC-A29D-5ADBA18808A2},740848,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{1B4836B8-27D5-4EF2-AD6D-2E2C1D801964},740849,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{626B6B0E-C13F-479D-B85F-854948F08A77},740850,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{F2A1608D-32C0-442D-9B9F-621D3FEBEBCC},740851,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{35BAF347-5A41-4D55-BD9B-5D9910475607},740852,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{C15BCECD-7200-4C0A-977B-16B373BFEE2F},740853,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Misc map correction in Square 5870 on April 2, 2012",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{2D182599-C900-4EFE-8389-8C7547EBFDCF},740854,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Fixed mapping error in Square 1809 on March 15, 2012 by adjusting zoning boundary to run along center line of the street",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{7E975998-FFFF-465C-B2E8-F22620BC4F73},740855,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{E9273C61-C174-4F5A-9757-DF18FB32FDAF},740856,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{5B68E15C-6E5B-493D-9FE1-6F31BE08AE62},740857,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Fixed mapping error in Square 2849, 2854 on March 21, 2012",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{E9E19E5D-DD74-49B0-8307-969CED828ACD},740858,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9CB4FD1C-1D23-41B9-A3F2-402B724089F0},740859,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{B607B771-DB96-4FC9-9D3C-DA6F229B08F5},740860,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Misc map corrections in Square 3876 on March 26, 2012",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{0E95AF1C-9702-4B1F-8852-48C53E74E4E6},740861,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{8C8FD61D-3DAE-4DBF-8896-A6D64ECBE667},740862,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{CBA63040-D26E-4DC4-BD46-19A2E3C5CFD2},740863,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{DC13B37C-8D69-4C8A-8CAE-B15CBD50A67F},740864,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Zoning boundary fixed to match official zoning records on March 27, 2012",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{7555EFBF-88A1-46E8-995E-BB6657C23118},740865,0,0
MU-13,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Official Digital Zoning Map of July 1, 2010",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-2,MU-13,{194EE794-D551-482E-9DDE-A50394BC9903},740866,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{DBF2ADAB-E813-4F29-AAE3-71459D4127A4},740867,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Misc map corrections in Square 3844 on March 26, 2012, expanded over Reed Street by 10-30; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{741662D2-2E90-4F62-AB98-3A2A22B9B663},740868,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{8B272890-0E32-4BB8-B69B-9419FAA3519E},740869,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{45105C44-1CCB-415F-B18A-1C207F3DF7E4},740870,0,0
MU-13,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Zoning Correction made on March 12, 2012 in Square 1183, 1184, 1185 to match DCGIS Baist Map",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-2,MU-13,{07399246-6574-40CE-9E7F-49E88462CCF4},740871,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{6AEE1E06-CCBA-4BE4-8A12-F75E63823B39},740872,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{AE2BF09D-F029-4B74-A0F9-7C8ED8314F14},740873,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{625C7CAC-AC6E-4C10-89CE-E1DC81403A79},740874,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{1B865909-AD5F-4C57-B40F-BFF16EC11599},740875,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{68FF7FC9-9574-4498-BFBE-D97F958F6477},740876,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{4C3164C5-E8F9-4AE1-ADC5-D03BE161FAED},740877,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{031C5593-1009-466E-9589-C044CB54FE5B},740878,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{7CF45D59-59BE-4BE2-A67C-E9129D9AC1A8},740879,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{1C9B57E7-7B69-42AF-8ED3-BBD45478ADD3},740880,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Zoning correction made on March 12, 2012 in Square 1060 to match DCGIS Baist map, Fixed Mapping error in Square 1074 on March 12, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{83170EC7-30FC-452A-B8D8-3AD807B395E1},740881,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{63E41590-2753-4734-AF9D-DE22D9960F0E},740882,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{55F4A862-A4D8-49F0-B628-EB40B6352240},740883,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E7223E16-D918-462F-8853-612DCDA81663},740884,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{9BE359B2-6285-4D88-88A3-A10E9BA66A42},740885,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,Cut off from C-M-2 segment to southwest by ZC 13-02 on 7/16/13,Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{E207A785-8983-433D-BFF8-3267146BE8F8},740886,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{A43A56A6-04D5-4819-8DEE-DCDDC63A5A31},740887,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{9897C954-8EA6-498B-B749-0DD2DA16AF02},740888,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{C1755EA6-A5D9-4750-8A74-8CC96BC5851D},740889,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{4CF73027-346E-449A-A2D9-0EF8669DCAAB},740890,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{3B1D956A-9DD7-4189-AD37-1D14225D55AF},740891,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010.  Map correction Zoning Commission Order No. 753, Case No. 93-10Z, 2/14/94.",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{70DF8A2D-2CD1-40DE-BF58-D5038796E345},740892,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{37F8B01C-FECF-410C-A23E-58D593D55652},740893,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{E705C110-D496-4C9A-9966-092973FCDB89},740894,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{BAA3B989-0E13-4B0B-BC58-CEC3CEB9AE4C},740895,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{66E285E0-FB92-4324-A68F-265287EE19B9},740896,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{DB3E0C26-9FB2-486A-9BA7-B7C0A3F549A3},740897,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Zoning boundary corrections in Square 4335, 4337 on March 27, 2012 to match official zoning records",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{C8D19699-DD1B-463E-85BD-617158CDE18E},740898,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{12CF2F94-3F6C-4579-BC55-5399B9D7B834},740899,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{CFFF344F-EF1D-43F2-AA23-8731064E1EC4},740900,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{D11FD65F-A4E4-4A33-AA44-216D9E5F7650},740901,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{3A03E89B-735A-417C-9202-1EE94CA63CB2},740902,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{61820179-A7E0-41FA-A38F-7806E24FA8A1},740903,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Misc map corrections in Square 5388 on March 30, 2012",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{731E979F-6CA2-499B-B2C8-944D720D928C},740904,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{CACEB96C-3D9A-488E-AABF-D91BA51E067D},740905,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{36D269AB-B6DD-4C0F-81E6-5A91C2FBB238},740906,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{63F9ACC2-4554-4361-B113-A58002595F77},740907,0,0
