ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{21FD5AAF-3560-49D2-93EA-20DC8323C665},741480,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{A7E484B7-82D0-475F-A741-42BFA42A5C33},741481,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{F7E381FC-99CE-4F2F-BB23-66C34A7242ED},741482,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{9E5E52E0-33F2-4D68-B78C-B65A9B76898F},741483,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E12776C9-BACE-41D7-8818-6572797FA168},741484,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{89E022BF-07AD-4D98-9DAA-680CAB0F4BD4},741485,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Fixed mapping error in Square 1282 on March 13, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{5BA888E7-7A9F-4F84-ACC4-1F4FEEC58B97},741486,0,0
MU-27,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-27/,"Fixed mapping error on March 13, 2012 by Naval observatory to match 1996 official zoning map; Fixed mapping error in Square 1300 on April 20, 2012",Final,MU-27,Permits moderate density mixed-use development in the vicinity of the U.S. Naval Observatory,Mixed-Use Zone,,NO/C-2-A,MU-27,{FDF73CD6-A005-4F77-AEBD-6A6575BF50D6},741487,0,0
R-19,https://handbook.dcoz.dc.gov/zones/residential/R-19/,,,R-19,Permits detached houses on moderately-sized lots,Residential Zone,,NEW ZONE,R-19,{6FE4B600-2973-4D1E-BCCC-EEFF60350C90},741488,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{E2BA832D-73DE-4931-9F51-5C9AA9539BEB},741489,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Rechanged to Unzoned 3/15/17, Federal Land",Final,UNZONED,Unzoned,Unzoned,,UNZONED,UNZONED,{368AADAE-4FCD-4A91-A561-33E8E786E5FB},741490,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{EBFD0D76-3EB4-4C0C-9357-41E12DB6F0DA},741491,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{79DA25FB-526A-4A22-AE75-E8332964E6FB},741492,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{D2C3E202-FFA6-4096-BF2A-14FA1518104C},741493,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{10497016-DC3D-4EE3-BF00-73CDCE931F02},741494,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{59D3AED7-32F7-4728-9489-3A5247DD2F8C},741495,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{6192D879-018A-41D8-95B1-5190B5370A81},741496,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{02382BBA-4408-4CC9-9990-8E6FD4820B51},741497,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{62F9D46B-03B4-40E7-8394-493C5C0BBF73},741498,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{AC150353-B5B0-42B4-9297-7E61C170C4ED},741499,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{91E27108-D0EC-4923-B558-FE7CE0ED9F22},741500,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{FE966B84-5B81-467B-ABB5-30973B3350DC},741501,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{7A1B0B66-D339-4557-ACF7-7D7A77001848},741502,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{380FAD30-6C73-4C88-AD3E-AF78B67AACC9},741503,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{947E228B-26CB-47C9-9BC9-606DA80DF038},741504,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{FD66AF95-BEDC-44EC-9475-4750CF8E770C},741505,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{B35C00CD-9C45-4D16-8224-5447CE13F4A9},741506,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{EE25D5E7-90CA-4C0B-8020-A9159CCEB839},741507,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{CEE23391-38BA-4433-B1C6-5F4D46AA56CF},741508,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{AD5A6896-AC0F-49C7-8255-2D6815F03116},741509,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{DA785125-390F-4C6E-9A4B-17BAC0C871E8},741510,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{DDD9C738-E838-4BE1-BCAF-3958251F9FFB},741511,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{6ECF0091-7FF5-49B2-8DC0-D7EFE2A0599D},741512,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{3BA28FEB-599F-4E0C-8B28-2245FC6C7978},741513,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"5/14/19 - Correction to 2003 Map Error, boundary shift to add Lots 822, 817, and 818 to RF-1",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{994EC025-30D4-48E1-9857-B4339FBBB970},741514,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{F0966D9A-71EF-4FCA-B29C-25EA2721F525},741515,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{C21A2810-4CC4-4BEE-AC66-717ACEB70F24},741516,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{2A2D9E7A-8612-41FA-8FE4-9427E4DB5C04},741517,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{BBA12E0D-9274-4278-90A8-049DBD4A054A},741518,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{8AB4F64E-F4A8-42DE-9D73-D9F65F66E67F},741519,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{7DB5A843-BA94-4B8A-A8F0-CC214F9D1AE3},741520,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{4AE57D2E-6BDA-45FE-8A1D-AB7967BB42FE},741521,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{CF319F7C-2691-43F9-B483-9A8814534253},741522,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{8E4DAFA2-8311-44CD-88DC-A583BFE2B1FF},741523,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{1972B059-89C2-4285-8FDD-DD9DA87C6B48},741524,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{F053A5D7-DB8E-42D0-99EA-361F63D398AA},741525,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{A5486C4F-8EA7-4348-AD7E-781874E7813E},741526,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{43EADD0E-465E-45DA-839C-F312C708F0BE},741527,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{4B1DA53E-83CC-4402-82D2-4056FC8FF5F9},741528,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{4A9CFCBB-D1F2-4300-AB38-DA1B2C9948B0},741529,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{CCAAEE95-24C6-4BEC-8AC4-9D8A82C6B925},741530,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{7702D87D-0499-4F9C-8E4B-6018A73D10FA},741531,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{9330C4F5-9169-4CCF-8218-339BAB523E6F},741532,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{73C762C3-3885-425B-821E-242809C4EB32},741533,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{0FF1388A-89C4-41BB-A8BB-6FBD0B0B80C1},741534,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{68D83614-5101-407E-8F0D-7FFCDF72F895},741535,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{B9054FD6-EADD-4918-BFDC-1A8A8757AD9D},741536,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{DF8BA139-005C-4953-A173-696A8EE22717},741537,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{FA561723-0CB8-472A-84BF-AB217C47BCBA},741538,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{7CB546AC-20E3-415A-82C8-7EA5304B9025},741539,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{EC0984BB-303E-4E35-9E85-673DFC5432AB},741540,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{F684758E-2651-4283-BA99-06C5450D4BA7},741541,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{58DDF789-A2D7-42F4-8977-96A5AAA5DAA2},741542,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{BA82A2D1-EE95-4189-BC35-84C9D79D8A58},741543,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{754B9FFC-DEE4-448D-A562-1149FC1FB43E},741544,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{0E5AC2BB-B875-4AD5-AF2E-40B9B723CFAE},741545,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{237C568B-87C8-4F48-84C9-D7378D0CB126},741546,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed mapping error in Sq. 1209,1218 and 1280 on 3/13/12; Fixed mapping error in Sq. 1295 to match official zoning records on 4/20/12; fixed mapping error in Sq. 1194 on 4/24/12; fixed mapping error in Sq. 1197, Lot 70 via Baist Book on 3/7/13;",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E98CDA3B-8F01-4F37-92FA-1D474400C7E2},741547,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{D7FC0ED9-5C72-4A3A-9693-0D1633E15699},741548,0,0
MU-12,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-12/,"Zoning Correction made on March 12, 2012 in Square 1183, 1184, 1185, 1190 and 1191 to match DCGIS Baist Map; Corrected Sq. 1197, Lot 70 due to mapping error, fixed via Baist Book",Final,MU-12,Permits moderate density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-1,MU-12,{B93B9DF2-487E-4218-A564-718B320B35D8},741549,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{F58084F0-6451-44D3-A3BC-209ACFEDC348},741550,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{939C00DC-9DD4-4262-AF2F-35AFA77B496F},741551,0,0
RF-4,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-4/,"MA from RA-2 to RF-4, Case 19-30",Final,RF-4,Provide for areas with attached row houses of 3 or more stories and a mix of apartment buildings,Residential Flat Zone,,NEW ZONE,RF-4,{AC8E3F18-0B6B-4600-9BAD-035BF36AAA17},741552,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{D010BAE1-09E6-401A-9474-11A07C789B5C},741553,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map corrections in Square 4131, 4133, 4134 on March 26, 2012; Misc map corrections in Square 4208 on March 27, 2012, Zoning boundary fixed in Square 4217N on March 27, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{570319E3-37A9-4CFB-B07D-90EADC1E46EC},741554,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5/,"ZC 22-02, MA from MU-4 and RA-2 to MU-5A (IZ+)",Final,MU-5A (IZ+),"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,IZ+,C-2-B,MU-5A,{EC49E512-E400-411B-B8CF-DFC1379C4EF0},741555,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{A0FDF85B-BEA4-4434-8DCA-1593844C0D78},741556,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,D/R-1-B,R-1-B,{E3855933-BC62-441F-BFF5-290A1D203C1A},741557,0,0
NC-14,https://handbook.dcoz.dc.gov/zones/neighborhood-mixed-use/nc-14/,"Official Digital Zoning Map of July 1, 2010",Final,NC-14,Permits mixed-use development at a moderate density with an emphasis on arts and arts-related uses,Neighborhood Mixed-Use Zone,,HS-A/C-2-A,NC-14,{6BDBF177-C7F6-465D-A505-CD44C8E26DC9},741558,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{29523DAA-DADD-4995-97F9-25D4A182CBBF},741559,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{DA215C82-FCCD-4F14-8D9F-3E6ED6363C50},741560,0,0
RF-1,https://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010; Boundary error edits 7/22/2021 near Congressional Cemetery and RES 13.",Final,RF-1,Permits development of attached rowhouses on small lots,Residential Flat Zone,,R-4,RF-1,{9927760C-BD2F-43A9-B735-3C11808318F8},741561,0,0
R-19,https://handbook.dcoz.dc.gov/zones/residential/R-19/,,,R-19,Permits detached houses on moderately-sized lots,Residential Zone,,NEW ZONE,R-19,{686655B8-C418-4E4C-B1C1-B431128BC70B},741562,0,0
R-19,https://handbook.dcoz.dc.gov/zones/residential/R-19/,,,R-19,Permits detached houses on moderately-sized lots,Residential Zone,,NEW ZONE,R-19,{B7F20775-5977-42C0-B514-4EAC5D3521AA},741563,0,0
R-20,https://handbook.dcoz.dc.gov/zones/residential/R-20/,,,R-20,"Preserves mix of detached, semi-detached and attached dwellings and permits attached row houses on small lots",Residential Zone,,NEW ZONE,R-20,{EDF24E09-D17D-44AA-814E-277CBFB3E498},741564,0,0
R-20,https://handbook.dcoz.dc.gov/zones/residential/R-20/,,,R-20,"Preserves mix of detached, semi-detached and attached dwellings and permits attached row houses on small lots",Residential Zone,,NEW ZONE,R-20,{F81A10AB-137C-4FBA-8120-AA57CF0A02C5},741565,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{31F758C0-2DC5-4882-977E-5CA0814E13AC},741566,0,0
RA-1,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",Residential Apartment Zone,,R-5-A,RA-1,{FD915681-8188-442B-8C5D-311C6F2C83E5},741567,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,R-5-B,RA-2,{F4F978D4-40C0-4A7B-BDFD-3CCC495FE71A},741568,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,D/R-1-B,R-1-B,{268EDC50-EC62-4F16-B1AE-42B6D12879CD},741569,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,D/R-1-B,R-1-B,{1C499308-6AAB-48F6-952D-8DCE409752D5},741570,0,0
